ts,open,high,low,close,volume
1890-01-01,5.38,5.38,5.38,5.38,0.0
1890-02-01,5.32,5.32,5.32,5.32,0.0
1890-03-01,5.28,5.28,5.28,5.28,0.0
1890-04-01,5.39,5.39,5.39,5.39,0.0
1890-05-01,5.62,5.62,5.62,5.62,0.0
1890-06-01,5.58,5.58,5.58,5.58,0.0
1890-07-01,5.54,5.54,5.54,5.54,0.0
1890-08-01,5.41,5.41,5.41,5.41,0.0
1890-09-01,5.32,5.32,5.32,5.32,0.0
1890-10-01,5.08,5.08,5.08,5.08,0.0
1890-11-01,4.71,4.71,4.71,4.71,0.0
1890-12-01,4.6,4.6,4.6,4.6,0.0
1891-01-01,4.84,4.84,4.84,4.84,0.0
1891-02-01,4.9,4.9,4.9,4.9,0.0
1891-03-01,4.81,4.81,4.81,4.81,0.0
1891-04-01,4.97,4.97,4.97,4.97,0.0
1891-05-01,4.95,4.95,4.95,4.95,0.0
1891-06-01,4.85,4.85,4.85,4.85,0.0
1891-07-01,4.77,4.77,4.77,4.77,0.0
1891-08-01,4.93,4.93,4.93,4.93,0.0
1891-09-01,5.33,5.33,5.33,5.33,0.0
1891-10-01,5.33,5.33,5.33,5.33,0.0
1891-11-01,5.25,5.25,5.25,5.25,0.0
1891-12-01,5.41,5.41,5.41,5.41,0.0
1892-01-01,5.51,5.51,5.51,5.51,0.0
1892-02-01,5.52,5.52,5.52,5.52,0.0
1892-03-01,5.58,5.58,5.58,5.58,0.0
1892-04-01,5.57,5.57,5.57,5.57,0.0
1892-05-01,5.57,5.57,5.57,5.57,0.0
1892-06-01,5.54,5.54,5.54,5.54,0.0
1892-07-01,5.54,5.54,5.54,5.54,0.0
1892-08-01,5.62,5.62,5.62,5.62,0.0
1892-09-01,5.48,5.48,5.48,5.48,0.0
1892-10-01,5.59,5.59,5.59,5.59,0.0
1892-11-01,5.57,5.57,5.57,5.57,0.0
1892-12-01,5.51,5.51,5.51,5.51,0.0
1893-01-01,5.61,5.61,5.61,5.61,0.0
1893-02-01,5.51,5.51,5.51,5.51,0.0
1893-03-01,5.31,5.31,5.31,5.31,0.0
1893-04-01,5.31,5.31,5.31,5.31,0.0
1893-05-01,4.84,4.84,4.84,4.84,0.0
1893-06-01,4.61,4.61,4.61,4.61,0.0
1893-07-01,4.18,4.18,4.18,4.18,0.0
1893-08-01,4.08,4.08,4.08,4.08,0.0
1893-09-01,4.37,4.37,4.37,4.37,0.0
1893-10-01,4.5,4.5,4.5,4.5,0.0
1893-11-01,4.57,4.57,4.57,4.57,0.0
1893-12-01,4.41,4.41,4.41,4.41,0.0
1894-01-01,4.32,4.32,4.32,4.32,0.0
1894-02-01,4.38,4.38,4.38,4.38,0.0
1894-03-01,4.51,4.51,4.51,4.51,0.0
1894-04-01,4.57,4.57,4.57,4.57,0.0
1894-05-01,4.4,4.4,4.4,4.4,0.0
1894-06-01,4.34,4.34,4.34,4.34,0.0
1894-07-01,4.25,4.25,4.25,4.25,0.0
1894-08-01,4.41,4.41,4.41,4.41,0.0
1894-09-01,4.48,4.48,4.48,4.48,0.0
1894-10-01,4.34,4.34,4.34,4.34,0.0
1894-11-01,4.34,4.34,4.34,4.34,0.0
1894-12-01,4.3,4.3,4.3,4.3,0.0
1895-01-01,4.25,4.25,4.25,4.25,0.0
1895-02-01,4.19,4.19,4.19,4.19,0.0
1895-03-01,4.19,4.19,4.19,4.19,0.0
1895-04-01,4.37,4.37,4.37,4.37,0.0
1895-05-01,4.61,4.61,4.61,4.61,0.0
1895-06-01,4.7,4.7,4.7,4.7,0.0
1895-07-01,4.72,4.72,4.72,4.72,0.0
1895-08-01,4.79,4.79,4.79,4.79,0.0
1895-09-01,4.82,4.82,4.82,4.82,0.0
1895-10-01,4.75,4.75,4.75,4.75,0.0
1895-11-01,4.59,4.59,4.59,4.59,0.0
1895-12-01,4.32,4.32,4.32,4.32,0.0
1896-01-01,4.27,4.27,4.27,4.27,0.0
1896-02-01,4.45,4.45,4.45,4.45,0.0
1896-03-01,4.38,4.38,4.38,4.38,0.0
1896-04-01,4.42,4.42,4.42,4.42,0.0
1896-05-01,4.4,4.4,4.4,4.4,0.0
1896-06-01,4.32,4.32,4.32,4.32,0.0
1896-07-01,4.04,4.04,4.04,4.04,0.0
1896-08-01,3.81,3.81,3.81,3.81,0.0
1896-09-01,4.01,4.01,4.01,4.01,0.0
1896-10-01,4.1,4.1,4.1,4.1,0.0
1896-11-01,4.38,4.38,4.38,4.38,0.0
1896-12-01,4.22,4.22,4.22,4.22,0.0
1897-01-01,4.22,4.22,4.22,4.22,0.0
1897-02-01,4.18,4.18,4.18,4.18,0.0
1897-03-01,4.19,4.19,4.19,4.19,0.0
1897-04-01,4.06,4.06,4.06,4.06,0.0
1897-05-01,4.08,4.08,4.08,4.08,0.0
1897-06-01,4.27,4.27,4.27,4.27,0.0
1897-07-01,4.46,4.46,4.46,4.46,0.0
1897-08-01,4.75,4.75,4.75,4.75,0.0
1897-09-01,4.98,4.98,4.98,4.98,0.0
1897-10-01,4.82,4.82,4.82,4.82,0.0
1897-11-01,4.65,4.65,4.65,4.65,0.0
1897-12-01,4.75,4.75,4.75,4.75,0.0
1898-01-01,4.88,4.88,4.88,4.88,0.0
1898-02-01,4.87,4.87,4.87,4.87,0.0
1898-03-01,4.65,4.65,4.65,4.65,0.0
1898-04-01,4.57,4.57,4.57,4.57,0.0
1898-05-01,4.87,4.87,4.87,4.87,0.0
1898-06-01,5.06,5.06,5.06,5.06,0.0
1898-07-01,5.08,5.08,5.08,5.08,0.0
1898-08-01,5.27,5.27,5.27,5.27,0.0
1898-09-01,5.26,5.26,5.26,5.26,0.0
1898-10-01,5.15,5.15,5.15,5.15,0.0
1898-11-01,5.32,5.32,5.32,5.32,0.0
1898-12-01,5.65,5.65,5.65,5.65,0.0
1899-01-01,6.08,6.08,6.08,6.08,0.0
1899-02-01,6.31,6.31,6.31,6.31,0.0
1899-03-01,6.4,6.4,6.4,6.4,0.0
1899-04-01,6.48,6.48,6.48,6.48,0.0
1899-05-01,6.21,6.21,6.21,6.21,0.0
1899-06-01,6.07,6.07,6.07,6.07,0.0
1899-07-01,6.28,6.28,6.28,6.28,0.0
1899-08-01,6.44,6.44,6.44,6.44,0.0
1899-09-01,6.37,6.37,6.37,6.37,0.0
1899-10-01,6.34,6.34,6.34,6.34,0.0
1899-11-01,6.46,6.46,6.46,6.46,0.0
1899-12-01,6.02,6.02,6.02,6.02,0.0
1900-01-01,6.1,6.1,6.1,6.1,0.0
1900-02-01,6.21,6.21,6.21,6.21,0.0
1900-03-01,6.26,6.26,6.26,6.26,0.0
1900-04-01,6.34,6.34,6.34,6.34,0.0
1900-05-01,6.04,6.04,6.04,6.04,0.0
1900-06-01,5.86,5.86,5.86,5.86,0.0
1900-07-01,5.86,5.86,5.86,5.86,0.0
1900-08-01,5.94,5.94,5.94,5.94,0.0
1900-09-01,5.8,5.8,5.8,5.8,0.0
1900-10-01,6.01,6.01,6.01,6.01,0.0
1900-11-01,6.48,6.48,6.48,6.48,0.0
1900-12-01,6.87,6.87,6.87,6.87,0.0
1901-01-01,7.07,7.07,7.07,7.07,0.0
1901-02-01,7.25,7.25,7.25,7.25,0.0
1901-03-01,7.51,7.51,7.51,7.51,0.0
1901-04-01,8.14,8.14,8.14,8.14,0.0
1901-05-01,7.73,7.73,7.73,7.73,0.0
1901-06-01,8.5,8.5,8.5,8.5,0.0
1901-07-01,7.93,7.93,7.93,7.93,0.0
1901-08-01,8.04,8.04,8.04,8.04,0.0
1901-09-01,8.0,8.0,8.0,8.0,0.0
1901-10-01,7.91,7.91,7.91,7.91,0.0
1901-11-01,8.08,8.08,8.08,8.08,0.0
1901-12-01,7.95,7.95,7.95,7.95,0.0
1902-01-01,8.12,8.12,8.12,8.12,0.0
1902-02-01,8.19,8.19,8.19,8.19,0.0
1902-03-01,8.2,8.2,8.2,8.2,0.0
1902-04-01,8.48,8.48,8.48,8.48,0.0
1902-05-01,8.46,8.46,8.46,8.46,0.0
1902-06-01,8.41,8.41,8.41,8.41,0.0
1902-07-01,8.6,8.6,8.6,8.6,0.0
1902-08-01,8.83,8.83,8.83,8.83,0.0
1902-09-01,8.85,8.85,8.85,8.85,0.0
1902-10-01,8.57,8.57,8.57,8.57,0.0
1902-11-01,8.24,8.24,8.24,8.24,0.0
1902-12-01,8.05,8.05,8.05,8.05,0.0
1903-01-01,8.46,8.46,8.46,8.46,0.0
1903-02-01,8.41,8.41,8.41,8.41,0.0
1903-03-01,8.08,8.08,8.08,8.08,0.0
1903-04-01,7.75,7.75,7.75,7.75,0.0
1903-05-01,7.6,7.6,7.6,7.6,0.0
1903-06-01,7.18,7.18,7.18,7.18,0.0
1903-07-01,6.85,6.85,6.85,6.85,0.0
1903-08-01,6.63,6.63,6.63,6.63,0.0
1903-09-01,6.47,6.47,6.47,6.47,0.0
1903-10-01,6.26,6.26,6.26,6.26,0.0
1903-11-01,6.28,6.28,6.28,6.28,0.0
1903-12-01,6.57,6.57,6.57,6.57,0.0
1904-01-01,6.68,6.68,6.68,6.68,0.0
